County,Precinct Code,Precinct Name,Old Polling Place,New Poling Place,Address,Status
BOLIVAR,SB,SHELBY,DR. ROBERT T. HOLLINGSWORTH PUBLIC LIBRARY,Shelby Police Department*,"1426 S. Lake ST. SHELBY, MS 38774",INCORRECT ADDRESS IN SEMS
FORREST,HS,HARDY STREET*,HARDY ST BAPT CHURCH ACTIVITY CTR,HARDY ST BAPT CHURCH ACTIVITY CTR,1508 HARDY STREET HATTIESBURG MS 39401,INCORRECT ADDRESS IN SEMS
FORREST,WS,WESTSIDE*,WESTSIDE,WESTSIDE,1122 S 28 TH AVE HATTIESBURG MS 39401,INCORRECT ADDRESS IN SEMS
HINDS,70,PRECINCT 70,NEW HORIZON CHURCH,NEW HORIZON CHURCH,1750 Bobby Rush Blvd #200 JACKSON MS 39204,ADDRESS CORRECTED 
PERRY,4090,HINTONVILLE 4090*,HINTONVILLE,HINTONVILLE,66 HINTONVILLE RD BEAUMONT MS 39423,INCORRECT ADDRESS
PERRY,5120,BEAUMONT PRECINCT 5120*,VOTING PRECINCT #5,VOTING PRECINCT #5,1502 Bolton Ave BEAUMONT MS 39423,INCORRECT ADDRESS
PERRY,5130,THOMPSON HILL 5130*,THOMSPON HILL COMMUNITY CENTER,THOMSPON HILL ,29 Little Creek RD BEAUMONT MS 39423,INCORRECT ADDRESS
TUNICA,5,MHOON LANDING*,MHOON LANDING,MHOON LANDING,1338 FOX ISLAND ROAD TUNICA MS 38676,INCORRECT ADDRESS
